t:20:28:44 start ==>
t:20:28:48 cuname:context
t:20:28:49 cuname:runtime/trace
t:20:28:49 cuname:internal/abi
t:20:28:49 cuname:regexp
t:20:28:49 cuname:os/signal
t:20:28:49 cuname:internal/cpu
t:20:28:49 cuname:internal/fuzz
t:20:28:49 cuname:internal/cpu
t:20:28:49 cuname:runtime/internal/atomic
t:20:28:49 cuname:gop-sample_test
t:20:28:49 cuname:gop-sample
t:20:28:49 cuname:encoding/json
t:20:28:49 cuname:internal/poll
t:20:28:49 cuname:runtime/internal/sys
t:20:28:49 cuname:gop-sample/cpkag
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/bytealg
t:20:28:49 cuname:internal/godebugs
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:runtime
t:20:28:49 cuname:github.com/liuscraft/testgomod/utils
t:20:28:49 cuname:internal/reflectlite
t:20:28:49 cuname:text/tabwriter
t:20:28:49 cuname:errors
t:20:28:49 cuname:sync/atomic
t:20:28:49 cuname:compress/flate
t:20:28:49 cuname:crypto/sha256
t:20:28:49 cuname:sync
t:20:28:49 cuname:internal/itoa
t:20:28:49 cuname:crypto/sha256
t:20:28:49 cuname:syscall
t:20:28:49 cuname:crypto/internal/boring/sig
t:20:28:49 cuname:syscall
t:20:28:49 cuname:time
t:20:28:49 cuname:unicode/utf8
t:20:28:49 cuname:encoding/binary
t:20:28:49 cuname:crypto
t:20:28:49 cuname:sort
t:20:28:49 cuname:io
t:20:28:49 cuname:io/fs
t:20:28:49 cuname:internal/testlog
t:20:28:49 cuname:internal/syscall/unix
t:20:28:49 cuname:go/parser
t:20:28:49 cuname:go/ast
t:20:28:49 cuname:encoding/base64
t:20:28:49 cuname:go/token
t:20:28:49 cuname:os
t:20:28:49 cuname:bufio
t:20:28:49 cuname:math
t:20:28:49 cuname:testing/internal/testdeps
t:20:28:49 cuname:math
t:20:28:49 cuname:runtime/pprof
t:20:28:49 cuname:compress/gzip
t:20:28:49 cuname:hash/crc32
t:20:28:49 cuname:strconv
t:20:28:49 cuname:unicode
t:20:28:49 cuname:reflect
t:20:28:49 cuname:reflect
t:20:28:49 cuname:internal/fmtsort
t:20:28:49 cuname:fmt
t:20:28:49 cuname:strings
t:20:28:49 cuname:flag
t:20:28:49 cuname:internal/sysinfo
t:20:28:49 cuname:path/filepath
t:20:28:49 cuname:bytes
t:20:28:49 cuname:internal/bisect
t:20:28:49 cuname:internal/godebug
t:20:28:49 cuname:math/rand
t:20:28:49 cuname:runtime/debug
t:20:28:49 cuname:hash/crc32
t:20:28:49 cuname:regexp/syntax
t:20:28:49 cuname:main
t:20:28:49 cuname:testing
t:20:28:49 cuname:internal/oserror
t:20:28:49 cuname:runtime
